"vars";"n";"mean";"sd";"median";"trimmed";"mad";"min";"max";"range";"skew";"kurtosis";"se"
"P1_DEPARTAMENTO*";1;41863;15.2598953730024;8.87347876788577;15;15.1131348720552;10.3782;1;32;31;0.101990920048808;-1.10912130738405;0.0433689333245711
"Energia";2;41863;0.917206124740224;0.275573698876082;1;1;0;0;1;1;-3.02783727514261;7.16796979092012;0.00134686042364981
"Gas_red";3;41863;0.177005947973151;0.381678296786448;0;0.0962646681197934;0;0;1;1;1.69245324790243;0.864418646797897;0.00186544432434714
"Y";4;41863;4.35255476196164;1.49332952405588;4;4.4439700217969;2.9652;1;8;7;-0.310780766519282;-0.908907925212807;0.00729861537447773
"N_hogar";5;41863;2.91465016840647;1.55974488158828;3;2.76617598757875;1.4826;1;29;28;1.13955324634606;3.75681996667228;0.00762321898123618
"Jefe_sex";6;41863;1.36583617992022;0.481669608136398;1;1.33229822937506;0;1;2;1;0.557064896696875;-1.68971906222301;0.00235414967074035
"Jefe_edad";7;41863;49.2552612091823;16.6788930445317;49;48.8163387178645;19.2738;14;101;87;0.195411614980701;-0.767658044659802;0.08151772481767
"menores";8;41863;0.948952535652008;1.19986693209668;1;0.739661401570571;1.4826;0;20;20;1.57286626323846;4.41258097291095;0.00586432337729673
"Jefe_educ_sec";9;41863;0.422879392303466;0.494022511426052;0;0.403600967424084;0;0;1;1;0.31220749540279;-1.90257192567973;0.00241452421528456
"Jefe_educ_ter";10;41863;0.0648305185963739;0.246229508235596;0;0;0;0;1;1;3.53458112665644;10.4935144058484;0.00120344133395113
"avg_edad";11;41863;39.211514815884;19.0155035822076;35;37.9430389169776;21.12705;4.66666666666667;99;94.3333333333333;0.496797200613539;-0.826590004495432;0.0929378576950601
"Casa";12;41863;0.903900819339273;0.294730729901864;1;1;0;0;1;1;-2.74074692731369;5.5118253847025;0.00144048999362869
"Apartamento";13;41863;0.0356639514607171;0.185453108855798;0;0;0;0;1;1;5.00746479369861;23.0752548706638;0.000906398011782009
"Habitacion";14;41863;0.0129947686501206;0.113252863201012;0;0;0;0;1;1;8.60011101310734;71.9636284665098;0.000553520890899898
"Casa_Ind";15;41863;0.0458161144686238;0.209088599487971;0;0;0;0;1;1;4.34431181185575;16.8734481838624;0.00102191595509754
"ln_PERCAPITA";16;41863;12.7921209747803;0.99349208039853;12.8212582846204;12.8091357356607;0.835399669060925;6.72543372218818;17.7174832275389;10.9920495053507;-0.235405396320572;1.99789124827675;0.00485567080514459
