"P1_DEPARTAMENTO";"Energia";"Gas_red";"Y";"N_hogar";"Jefe_sex";"Jefe_edad";"menores";"Jefe_educ_sec";"Jefe_educ_ter";"avg_edad";"Casa";"Apartamento";"Habitacion";"Casa_Ind";"ln_PERCAPITA"
"13";1;1;2;2;1;28;0;1;0;28;1;0;0;0;13.2289731124626
"13";1;0;6;2;2;30;1;1;0;18.5;1;0;0;0;12.9499921514635
"13";1;1;2;5;2;27;2;1;0;18.4;0;1;0;0;12.8815648908514
"13";1;0;4;2;2;56;0;0;0;63;0;1;0;0;12.1635130311114
"13";1;1;2;3;2;38;1;1;0;25.6666666666667;0;1;0;0;13.3625344671851
"17";1;0;4;4;1;43;2;0;0;27.75;1;0;0;0;12.501536858424
"18";1;0;6;2;1;64;0;0;0;62;1;0;0;0;13.0020772115298
"95";1;0;6;4;1;42;1;0;0;28.5;1;0;0;0;12.6017679620425
"13";1;1;2;4;1;71;2;0;0;40.75;1;0;0;0;12.9792625337637
"19";1;0;4;3;2;53;1;0;0;33.3333333333333;1;0;0;0;12.6585626922832
"95";1;0;4;7;1;37;4;1;0;15.1428571428571;1;0;0;0;12.0050050459152
"19";1;0;6;3;1;58;0;0;0;46.6666666666667;1;0;0;0;12.2060726455302
"95";1;0;6;4;1;45;0;0;0;43;1;0;0;0;11.5129254649702
"95";1;0;6;2;2;60;0;0;0;61;1;0;0;0;12.5940241711456
"95";1;0;6;1;1;75;0;0;0;75;1;0;0;0;13.6989767417083
"95";1;0;4;2;2;58;0;1;0;59;1;0;0;0;14.0714439321015
"13";1;0;4;4;1;30;2;0;1;15.5;1;0;0;0;12.8007797532769
"13";1;0;4;4;1;44;0;0;0;53;1;0;0;0;12.6443275764613
"13";1;0;4;2;2;34;1;1;0;26;1;0;0;0;12.6603279178078
"95";1;0;6;6;1;82;4;1;0;27;1;0;0;0;11.4689155239738
"18";1;0;4;4;2;42;1;1;0;31.25;1;0;0;0;12.2548628096996
"13";1;0;4;4;2;33;3;1;0;17.5;1;0;0;0;11.305286100192
"41";1;1;2;3;1;51;0;0;0;40;1;0;0;0;14.0827773154651
"13";1;1;2;8;1;38;3;1;0;22.75;1;0;0;0;12.8544839322487
"18";1;0;6;4;1;52;2;0;0;30;1;0;0;0;12.0022720570591
"95";1;0;6;5;1;43;1;1;0;26.4;1;0;0;0;12.9075186289048
"18";1;0;4;2;1;19;1;1;0;18.5;1;0;0;0;13.3455069287185
"95";1;0;6;2;2;62;0;0;0;65;1;0;0;0;13.0936209085387
"13";1;1;2;4;2;69;0;0;0;45.75;1;0;0;0;12.8405564568433
"15";1;0;5;3;1;82;0;0;0;53.6666666666667;1;0;0;0;12.3275525430679
"95";1;0;4;3;1;21;1;1;0;15.6666666666667;1;0;0;0;11.9183905730784
"19";1;0;6;5;1;49;1;0;0;43;1;0;0;0;11.4060823693522
"13";1;0;4;4;2;21;2;1;0;14;0;1;0;0;11.2335421953331
"13";1;0;4;3;1;26;1;0;0;17;0;1;0;0;11.5129254649702
"13";1;1;2;1;1;31;0;1;0;31;0;1;0;0;13.5923670066501
"19";1;0;6;3;1;42;1;1;0;32;1;0;0;0;12.3263217736818
"95";1;0;4;1;1;51;0;0;1;51;1;0;0;0;16.1180956509583
"13";1;1;2;1;2;55;0;0;0;55;1;0;0;0;13.8643007221337
"19";1;0;6;2;1;67;0;0;0;62.5;1;0;0;0;12.6550228655781
"13";1;0;4;5;2;30;3;1;0;17;0;1;0;0;11.809319478024
"13";1;1;2;3;2;30;2;1;0;13.3333333333333;0;1;0;0;11.9636471646665
"95";1;0;6;1;1;59;0;0;0;59;1;0;0;0;12.8992198260901
"18";1;0;6;2;2;80;0;0;0;64;1;0;0;0;12.8279923168018
"95";1;0;4;1;1;30;0;0;1;30;1;0;0;0;14.5086577385242
"19";1;0;6;3;2;32;2;1;0;21.3333333333333;1;0;0;0;11.8212268246247
"66";1;0;4;4;2;34;1;1;0;37.75;1;0;0;0;13.8213269432857
"18";1;0;4;5;1;39;1;0;0;41.2;1;0;0;0;11.8204101647182
"66";1;1;2;3;2;81;0;0;0;63.3333333333333;1;0;0;0;13.225220762844
"19";1;0;6;1;1;80;0;0;0;80;1;0;0;0;13.348170046138
"91";0;0;6;3;1;26;1;1;0;20;1;0;0;0;12.3883942023241
"91";1;0;6;4;1;38;2;1;0;19.25;1;0;0;0;11.7720794538075
"19";1;0;6;4;1;61;1;0;0;39.5;1;0;0;0;11.6670761447975
"18";1;0;4;3;2;35;2;1;0;20;1;0;0;0;13.1551532002273
"91";1;0;6;3;1;63;0;1;0;43.3333333333333;1;0;0;0;12.8992198260901
"73";1;0;4;4;1;50;1;0;0;31.75;1;0;0;0;13.0020772115298
"95";1;0;6;1;1;55;0;0;1;55;1;0;0;0;13.9108207377686
"13";1;1;2;2;1;72;0;0;0;75.5;1;0;0;0;12.7093700028754
"91";1;0;6;6;2;41;5;0;0;16.6666666666667;1;0;0;0;11.037350790675
"91";1;0;4;7;1;58;4;1;0;23.7142857142857;1;0;0;0;12.0847117885259
"19";1;0;6;1;2;51;0;1;0;51;1;0;0;0;13.4588356140255
"13";1;1;2;2;2;76;0;0;0;75.5;1;0;0;0;12.4457454987956
"13";1;1;2;2;2;36;0;1;0;41.5;0;1;0;0;13.6773972558346
"13";1;1;2;4;1;35;2;0;1;22.75;1;0;0;0;12.780107782694
"13";1;1;2;3;1;31;2;0;1;19.6666666666667;0;1;0;0;12.9513114128686
"18";1;0;4;2;1;79;0;0;0;50;1;0;0;0;13.4588356140255
"91";1;0;4;2;1;55;0;0;0;55.5;1;0;0;0;13.4736069313459
