"P1_DEPARTAMENTO";"Energia";"Gas_red";"Y";"N_hogar";"Jefe_sex";"Jefe_edad";"menores";"Jefe_educ_sec";"Jefe_educ_ter";"avg_edad";"Casa";"Apartamento";"Habitacion";"Casa_Ind";"ln_PERCAPITA"
"08";0;0;"Leña";1;1;47;0;0;0;47;0;0;1;0;13.6857814512895
"08";0;0;"Leña";1;1;37;0;0;0;37;1;0;0;0;13.4588356140255
"41";1;0;"Leña";1;1;38;0;0;0;38;1;0;0;0;13.0170028617465
"41";1;0;"Leña";5;1;41;3;1;0;23.6;1;0;0;0;12.5890648977863
"41";1;0;"Leña";1;1;55;0;0;0;55;1;0;0;0;12.8992198260901
"41";1;0;"GLP";6;1;47;3;1;0;24.8333333333333;1;0;0;0;12.1689261796379
"41";1;0;"GLP";3;1;43;1;1;0;28.6666666666667;1;0;0;0;12.4874851049684
"41";1;0;"Leña";4;1;36;2;1;0;26;1;0;0;0;12.3779229024568
"18";1;0;"Leña";2;2;40;0;1;0;42.5;1;0;0;0;13.3847276418718
"18";1;0;"GLP";4;1;36;2;1;0;23.5;1;0;0;0;12.7656884334656
"18";1;0;"GLP";4;1;43;3;0;0;19.75;1;0;0;0;12.8357917992366
"41";1;0;"GLP";2;2;68;0;1;0;68.5;1;0;0;0;12.6115377536383
"41";1;0;"GLP";6;1;36;4;1;0;21;1;0;0;0;11.8902196961117
"81";1;0;"GLP";1;1;57;0;0;0;57;1;0;0;0;11.9724577943487
"81";1;0;"Leña";4;2;39;3;1;0;14.75;1;0;0;0;9.43348392329039
"81";1;0;"GLP";2;1;64;0;1;0;57;1;0;0;0;13.0672158227841
"81";1;0;"GLP";8;2;45;2;0;0;25.5;1;0;0;0;11.8130300574206
"81";1;0;"GLP";7;2;33;5;1;0;17.7142857142857;1;0;0;0;11.2527967949363
"81";1;0;"GLP";7;2;32;5;1;0;25.1428571428571;1;0;0;0;10.7759756617519
"81";1;0;"GLP";5;2;43;2;1;0;19;1;0;0;0;12.1792151913603
"81";1;0;"GLP";2;2;19;0;1;0;24;1;0;0;0;12.5245263766487
"81";1;0;"GLP";2;1;38;0;1;0;33;1;0;0;0;13.1770807031004
"81";1;0;"GLP";10;2;52;3;1;0;29.6;1;0;0;0;12.14437453106
"81";1;0;"GLP";4;2;59;2;1;0;23.5;1;0;0;0;10.5320962119585
"81";1;0;"GLP";5;1;35;3;0;0;19.6;1;0;0;0;12.8434428106211
"81";1;0;"GLP";4;2;33;2;1;0;24;1;0;0;0;11.1161722974641
"18";1;0;"Leña";7;1;36;5;0;0;19.2857142857143;1;0;0;0;12.6373911324647
"18";1;0;"GLP";4;1;21;3;1;0;9.75;1;0;0;0;12.3883942023241
"50";1;0;"GLP";3;1;60;0;1;0;44;1;0;0;0;11.8374215105447
"50";1;0;"GLP";1;1;40;0;0;1;40;0;1;0;0;14.5086577385242
"50";1;0;"GLP";2;1;77;0;0;0;73.5;1;0;0;0;12.6915804613119
"50";1;0;"GLP";2;1;65;0;0;0;61;1;0;0;0;12.1892655272138
"50";1;0;"GLP";2;2;34;1;1;0;24;0;1;0;0;12.6031695039678
"08";0;0;"Leña";3;1;56;0;0;0;46;1;0;0;0;13.3718242370359
"08";1;0;"GLP";1;2;68;0;0;1;68;1;0;0;0;14.0518993360285
"08";0;0;"Leña";2;1;73;0;0;0;69;1;0;0;0;12.1190612685405
"08";1;0;"GLP";3;1;48;1;1;0;33.6666666666667;1;0;0;0;12.7326075630013
"08";0;0;"Leña";1;1;70;0;0;0;70;1;0;0;0;14.8580226961636
"08";0;0;"Leña";2;1;48;0;0;0;43.5;1;0;0;0;12.8992198260901
"08";1;0;"Energia";3;1;44;1;1;0;30;1;0;0;0;12.7751671774201
"08";1;1;"Gas";5;2;50;1;0;0;43.8;1;0;0;0;13.4347136719051
"08";1;1;"Gas";5;1;88;0;0;0;63.4;1;0;0;0;13.3359951683459
"08";1;1;"Gas";4;1;57;0;1;0;37.25;0;1;0;0;12.8982297527959
"08";1;1;"Gas";3;1;37;1;0;1;28.3333333333333;0;1;0;0;13.5606183083355
"08";1;1;"Gas";6;2;44;2;1;0;34.6666666666667;1;0;0;0;12.5504500616585
"08";1;1;"Gas";7;1;70;4;1;0;33.8571428571429;1;0;0;0;12.060496212673
"08";1;1;"Gas";2;1;65;0;0;0;59.5;1;0;0;0;12.412409078528
"08";1;1;"Gas";3;1;57;0;1;0;45;1;0;0;0;13.1926147159486
"08";1;1;"Gas";4;1;54;0;1;0;36.5;1;0;0;0;13.3692234553359
"08";1;0;"Energia";2;1;42;1;0;0;28.5;0;1;0;0;13.1180949472707
"08";1;1;"Gas";7;1;57;3;1;0;27.4285714285714;1;0;0;0;13.2150727755086
"08";1;0;"Energia";5;1;45;1;1;0;28.6;0;1;0;0;12.7522654131335
"08";1;0;"Energia";1;1;36;0;0;0;36;1;0;0;0;12.7656884334656
"08";1;1;"Gas";2;1;68;0;0;0;64;1;0;0;0;12.0843757105527
"08";1;1;"Gas";5;1;43;2;1;0;27.2;1;0;0;0;12.4454831693083
"08";1;1;"Gas";6;1;67;2;0;0;36.6666666666667;1;0;0;0;12.7996296668936
"08";1;0;"Energia";2;1;36;0;1;0;37.5;1;0;0;0;12.8992198260901
"08";1;1;"Gas";3;1;64;0;0;0;51;1;0;0;0;12.5824140419164
"08";1;1;"Gas";3;1;76;0;1;0;48.3333333333333;1;0;0;0;11.7248957156863
"13";1;1;"Gas";1;1;62;0;0;0;62;1;0;0;0;13.6899473349889
"13";1;1;"Gas";7;2;59;3;1;0;22.7142857142857;1;0;0;0;12.0308685565051
"13";1;1;"Gas";4;1;53;0;1;0;36.75;1;0;0;0;11.9183905730784
"13";1;1;"Gas";2;2;60;0;0;0;43.5;1;0;0;0;12.5006061929311
"13";1;1;"Gas";2;1;47;0;0;0;48.5;1;0;0;0;12.8992198260901
"13";1;1;"Gas";4;2;67;1;1;0;41.5;1;0;0;0;12.4789582887392
"13";1;1;"Gas";5;2;42;3;0;1;19.4;1;0;0;0;12.6354712706004
"13";1;1;"Gas";4;1;55;1;1;0;35;1;0;0;0;11.9984332807519
"44";1;1;"Gas";2;1;78;0;0;0;76.5;1;0;0;0;12.8802918162046
"44";1;1;"Gas";5;1;41;3;0;0;22.4;1;0;0;0;13.0209572550394
"44";1;1;"Gas";9;2;48;5;1;0;26;1;0;0;0;11.4329599148138
"44";1;1;"Gas";1;2;52;0;0;1;52;1;0;0;0;13.7101500423064
"44";1;1;"Gas";3;2;37;2;1;0;19.6666666666667;1;0;0;0;11.9072172724803
"44";1;1;"Gas";4;2;75;1;0;0;40.25;1;0;0;0;12.5214914729536
"44";1;1;"Gas";3;2;39;1;0;1;27;1;0;0;0;13.4990860166468
"44";1;1;"Gas";4;1;30;2;0;0;17.25;1;0;0;0;12.7656884334656
"44";1;1;"Gas";4;1;32;1;0;1;34.25;1;0;0;0;13.594708014352
"18";1;0;"Leña";9;1;52;4;1;0;27.7777777777778;1;0;0;0;12.7561189824494
"18";1;0;"Leña";4;2;45;1;0;0;38.5;1;0;0;0;13.0444018359346
"18";1;0;"GLP";1;1;74;0;0;0;74;1;0;0;0;13.1223633774043
"18";1;0;"GLP";3;2;18;2;1;0;17;1;0;0;0;12.6656049749086
"18";1;0;"GLP";2;1;70;0;0;0;63.5;1;0;0;0;13.2176735572087
"18";1;0;"Leña";2;2;75;1;0;0;45.5;1;0;0;0;12.9935825875384
"18";1;0;"GLP";3;1;66;0;0;0;48;1;0;0;0;12.8122084491005
"18";1;0;"GLP";5;2;34;3;0;0;20.2;1;0;0;0;12.1441972418121
"18";1;0;"GLP";2;1;25;1;1;0;20.5;1;0;0;0;13.5734389967645
"18";1;0;"GLP";2;1;45;0;0;0;44.5;1;0;0;0;13.0170028617465
"18";1;0;"GLP";3;1;55;1;0;0;32.6666666666667;1;0;0;0;12.5543793397984
"18";1;0;"Leña";1;1;67;0;0;0;67;1;0;0;0;14.5692823603407
"18";1;0;"GLP";3;2;27;1;1;0;38.3333333333333;1;0;0;0;12.6682330973149
"18";1;0;"Leña";3;1;47;0;0;0;42.3333333333333;1;0;0;0;13.1869018985419
"18";1;0;"Leña";4;1;46;1;1;0;29.75;1;0;0;0;12.9177962116631
"18";1;0;"GLP";2;1;61;0;0;0;75;1;0;0;0;12.3779229024568
"18";1;0;"Leña";4;1;56;2;1;0;29.75;1;0;0;0;12.6239602736369
"18";1;0;"GLP";2;2;45;1;1;0;29;1;0;0;0;13.2085410736454
"18";1;0;"GLP";5;1;40;3;1;0;21.4;1;0;0;0;13.0376221489492
"18";1;0;"GLP";2;2;72;0;0;0;70;1;0;0;0;12.6115377536383
"18";1;0;"Leña";4;2;31;3;0;0;13;1;0;0;0;11.7158663089669
"18";1;0;"GLP";4;2;34;2;0;0;24.25;1;0;0;0;12.4242036550208
"18";1;0;"Leña";2;1;30;0;0;0;40;1;0;0;0;13.1223633774043
"18";1;0;"Leña";1;1;34;0;0;0;34;1;0;0;0;14.1081801719271
"18";1;0;"GLP";3;1;34;1;0;1;26.3333333333333;1;0;0;0;12.9506519997224
"18";1;0;"GLP";4;1;47;2;1;0;28;1;0;0;0;11.7558716435806
"18";1;0;"GLP";4;1;48;2;1;0;30.25;1;0;0;0;12.2291379184612
"41";0;0;"Leña";2;1;73;0;0;0;69;1;0;0;0;12.0366673140028
"41";1;0;"Leña";3;1;63;1;0;0;44;1;0;0;0;11.7911883155055
"41";1;0;"GLP";4;2;25;3;0;0;13.5;1;0;0;0;11.1105804841983
"41";1;0;"Leña";2;1;67;0;0;0;60;1;0;0;0;12.3458345879053
"41";0;0;"Leña";1;1;72;0;0;0;72;1;0;0;0;12.5305686911047
"41";1;0;"GLP";1;1;37;0;1;0;37;1;0;0;0;14.232025502259
"41";1;0;"GLP";4;2;62;2;1;0;31.5;1;0;0;0;11.7752897294377
"41";1;0;"GLP";5;1;40;2;1;0;24.2;1;0;0;0;12.3966930051388
"41";1;0;"GLP";1;2;50;0;0;0;50;1;0;0;0;13.3046849341983
"41";1;0;"GLP";3;1;34;1;1;0;24.6666666666667;1;0;0;0;12.4780063610138
"41";1;0;"Leña";6;1;50;2;0;0;25.1666666666667;1;0;0;0;12.2334716197183
"41";1;0;"Leña";4;1;36;2;1;0;21.75;1;0;0;0;12.3739592681528
"41";1;0;"Leña";5;1;47;3;1;0;22.4;1;0;0;0;12.0435537160324
"41";1;0;"GLP";5;1;37;3;1;0;17.4;1;0;0;0;12.0513662557692
"41";1;0;"Leña";6;1;53;3;0;0;23.6666666666667;0;1;0;0;11.1422642790568
"41";1;0;"Leña";2;1;66;0;0;0;67;0;0;1;0;10.4511271494248
"41";1;0;"Leña";3;1;27;1;1;0;16.3333333333333;1;0;0;0;12.0237510887362
"41";1;0;"Leña";4;1;44;2;0;0;27.5;1;0;0;0;12.3673407931263
"41";1;0;"Leña";3;1;28;1;0;0;19.3333333333333;1;0;0;0;11.7880287552151
"41";1;0;"Leña";1;2;51;0;0;0;51;0;0;1;0;11.5129254649702
"41";1;0;"GLP";4;2;47;2;1;0;24.25;1;0;0;0;12.0581525154536
"41";1;0;"Leña";2;1;57;0;0;0;53.5;1;0;0;0;12.5061772379805
"41";1;0;"Leña";1;1;61;0;0;0;61;1;0;0;0;12.6115377536383
"41";1;0;"Leña";6;1;70;1;0;0;40.5;1;0;0;0;11.2252433925184
"41";1;0;"Leña";8;1;58;3;0;0;27.25;1;0;0;0;11.4405787613848
"41";1;0;"Leña";4;1;29;2;1;0;16.5;1;0;0;0;10.8843168055479
"41";1;0;"Leña";2;1;55;0;0;0;52.5;1;0;0;0;12.0257490913989
